user_input,response,reference,retrieved_contexts,_intent_expected,_intent_actual
Quelles technologies maîtrises-tu ?,"💪 Je maîtrise un bon mix de technologies modernes ! Côté **backend**, je travaille avec **C# .NET 8**, **Python** (Django/FastAPI), et j'ai une solide expérience avec **Entity Framework Core** et les bases de données (**SQL Server**, **PostgreSQL**). 

Pour le **frontend**, je suis à l'aise avec **React 18** et **TypeScript**, et j'ai aussi de l'expérience en **WPF** avec l'architecture **MVVM** pour les applications desktop.

Côté **DevOps et déploiement**, j'utilise **Docker** pour la containerisation et j'ai travaillé avec **Azure App Service**. J'ai aussi une bonne expérience en **IA/ML** — notamment les systèmes **RAG** avec **LangChain**, **pgvector** et les APIs **Claude/GPT**.

Un de mes projets phares, **Super CChic**, combine d'ailleurs plusieurs de ces techs : C# .NET, WPF, React, Django et PostgreSQL ! 🚀

Y a-t-il une technologie en particulier que tu aimerais explorer ou sur laquelle tu as des questions ? ✨","Il maîtrise C#, .NET, WPF, MVVM, ASP.NET Core, Python, Django, FastAPI, et développe des chatbots basés sur l'IA.","[""Donnees structurees (base de donnees) :\n[(1, 'Super CChic', 'super-cchic-pos-system', '[\""C# .NET 8\"", \""WPF\"", \""MVVM\"", \""Entity Framework Core\"", \""SQL Server\"", \""Material Design\"", \""React 18\"", \""Django REST Framework\"", \""PostgreSQL\"", \""Azure App Service\"", \""Docker\""]')]""]",SQL,SQL
As-tu de l'expérience en C# ?,"💪 Absolument ! C# est l'une de mes compétences fortes. J'ai travaillé avec **C# .NET 8** sur plusieurs projets importants, notamment mon système de point de vente **Super CChic** — un projet de fin d'études complet pour épiceries où j'ai construit l'interface WPF avec le pattern MVVM et Entity Framework Core pour la gestion de base de données.

J'ai aussi développé le **Gestionnaire de Projet WebNet**, une application de gestion de projets toujours en C# .NET 8 avec WPF et Material Design. Ces expériences m'ont permis de maîtriser l'architecture MVVM, Entity Framework, et les bonnes pratiques de développement desktop. 🎯

Tu veux que je te parle plus en détail d'un de ces projets ou de comment j'utilise C# dans mon stack ?","Oui, il maîtrise le développement en C#, .NET et WPF avec le modèle MVVM pour concevoir des interfaces structurées et maintenables.","[""Donnees structurees (base de donnees) :\n[(4, 'Gestionnaire de Projet WebNet', 'gestionnaire-projet-webnet', 'Application de gestion de projets avec pattern MVVM et Material Design', '[\""C# .NET 8\"", \""WPF\"", \""MVVM\"", \""Entity Framework Core\"", \""Material Design\"", \""SQL Server\""]', '', '', datetime.date(2025, 12, 1)), (1, 'Super CChic', 'super-cchic-pos-system', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', '[\""C# .NET 8\"", \""WPF\"", \""MVVM\"", \""Ent",SQL,SQL
Tu as un portfolio ?,"Oui, bien sûr ! 🌟 J'ai un portfolio interactif en ligne où tu peux voir l'ensemble de mes projets, mes compétences techniques et mon parcours. Tu peux le consulter ici : **https://portfolio.jordan-pokam.dev**

Sur ce site, tu trouveras une vue d'ensemble complète de mes réalisations en développement logiciel, mes compétences et mon expérience académique et professionnelle. C'est le meilleur endroit pour explorer mes projets en détail ! 💻

Tu veux que je te parle d'un projet spécifique ou d'une compétence en particulier ? ✨","Oui, il a élaboré non seulement un portfolio déployé mais aussi CV interactif sous forme de chatbot alimenté par un modèle d'IA, conçu pour simuler un entretien en ligne et permettre à un employeur de découvrir ses compétences plus aisément.","[""Donnees structurees (base de donnees) :\n[(256, \""Points forts: Mention honorable Hackathon UQAC 2025, projet NOVA GAMES avec chatbot IA (100% satisfaction), système RAG pour portfolio, applications WPF professionnelles. Compétences en gestion d'équipe et coordination de projets.\"", 'Résumé', {'type': 'points_forts', 'realisations': ['Hackathon mention honorable', 'NOVA GAMES 100%', 'CV Chatbot RAG', 'Leadership projets']}, datetime.datetime(2026, 2, 26, 14, 34, 49, 631507)), (281, \""Lors des ",SQL,SQL
Décris ton projet le plus avancé en IA,"🌟 Mon projet le plus avancé en IA, c'est sans doute mon **CV Chatbot RAG** — celui que tu utilises en ce moment ! 

C'est un système complet de recherche et génération augmentée par récupération (RAG). 💻 J'ai construit une API **FastAPI** qui utilise **pgvector** pour la recherche vectorielle, **Voyage AI** pour transformer mes données en embeddings, et **Claude** comme moteur de génération. L'idée ? Permettre aux recruteurs de me découvrir de façon interactive plutôt que de lire un CV statique.

Le plus cool, c'est que j'ai déployé tout ça en **production sur AWS EC2** 🚀 avec **Caddy** comme reverse proxy et SSL pour la sécurité. C'est vraiment du full-stack IA en conditions réelles !

J'ai aussi travaillé sur **SafetyHub** lors du Hackathon UQAC/CiT 2025 — une app web d'IA pour la sécurité en milieu de travail avec React, Django et AWS Bedrock. Mais le CV Chatbot reste mon projet le plus abouti techniquement. ✨

Tu veux que je te détaille l'architecture ou une partie spécifique du système ?","Son projet le plus avancé en IA est son chatbot CV intelligent, un système RAG complet utilisant FastAPI, PostgreSQL avec pgvector, Voyage AI pour les embeddings et Claude comme LLM. Il est déployé en production.","[""Donnees structurees (base de donnees) :\n[('NOVA GAMES S2J', \""Boutique en ligne moderne pour jeux vidéo avec système d'authentification Google OAuth, gestion des employés et chatbot d'assistance intelligent. Architecture multi-services orchestrée avec Docker.\"", \""Projet académique de développement d'une plateforme e-commerce complète réalisé d'août à décembre 2025, mettant l'accent sur l'expérience utilisateur et l'intégration de services tiers.\"", '[\""Catalogue de jeux avec filtres avancés\",VECTOR_SQL,VECTOR_SQL
Parle-moi de tes projets en C#,"👋 Salut ! J'ai plusieurs projets C# dont je suis vraiment fier ! 💻

Mon **projet phare** est **Super CChic**, un système de point de vente complet pour épiceries. C'est mon projet ESP (Épreuve Synthèse de Programme) du DEC, et c'est une vraie application full-stack : j'ai développé une application desktop en **C# WPF avec architecture MVVM**, qui gère l'inventaire en temps réel, les transactions avec calcul automatique des taxes TPS/TVQ, et génère des factures PDF. 🌟 J'ai complété ça avec une **API REST Django** déployée sur Azure App Service et un site web vitrine en React. C'est du solide, bien architecturé et prêt pour la production !

J'ai aussi travaillé sur le **Gestionnaire de Projet WebNet**, une application de gestion de projets que j'ai développée récemment. Elle utilise **C# .NET 8 avec WPF et MVVM**, Entity Framework Core, et elle propose une interface moderne avec dark mode, gestion complète des tâches, timeline intégrée et rapports détaillés. 💪

En parallèle, j'ai créé une **application de gestion de dépenses entre amis** en C# MVVM — elle calcule dynamiquement les parts et les soldes avec arrondis intelligents, et elle est bien documentée.

C# est vraiment mon langage de prédilection pour les applications desktop professionnelles. Tu veux que je détaille l'architecture d'un de ces projets ? ✨","Il a conçu une application de gestion de projets avec des amis en C# avec WPF/MVVM, ainsi qu'une application WPF de gestion d'épicerie complète et prête à être utilisée en situation réelle.","[""Donnees structurees (base de donnees) :\n[('Super CChic', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', 'Application desktop de caisse pour épiceries développée en C# WPF avec architecture MVVM. Inclut gestion des produits, transactions avec taxes TPS/TVQ, génération de factures PDF et rapports de ventes. Complété par une API REST Django déployée sur Azure App Service et un site web vitrine en React.', \""Projet ESP (Épreuve Synthèse de Programme) — D",VECTOR_SQL,VECTOR_SQL
Quel est ton meilleur projet et pourquoi ?,"🌟 Mon meilleur projet, c'est sans doute **Super CChic** — mon projet ESP (Épreuve Synthèse de Programme) de fin de DEC. C'est vraiment le projet qui représente tout ce que j'aime faire.

C'est un **système de point de vente complet pour épiceries** développé en full-stack. J'ai construit une application desktop en **C# WPF avec architecture MVVM**, complétée par une **API REST Django** déployée sur Azure et un site web vitrine en **React**. 💻

Ce qui en fait mon meilleur projet, c'est qu'il combine vraiment plusieurs domaines : gestion d'inventaire en temps réel, calcul automatique des taxes (TPS/TVQ), génération de factures PDF, dashboards analytics... et tout ça fonctionne ensemble de manière cohérente. 🚀

Mais au-delà de la complexité technique, j'en suis fier parce que **le code est maintenable et bien documenté**. C'est un projet que quelqu'un d'autre pourrait reprendre facilement — et c'est ça qui compte vraiment pour moi. La qualité et la clarté avant tout.

Tu veux que je te détaille une partie spécifique du projet, ou tu as des questions sur les technologies utilisées ? ✨","Son meilleur projet est le chatbot CV intelligent, un système RAG avec FastAPI, PostgreSQL, pgvector, Voyage AI et Claude. Il l'a conçu pour démontrer ses compétences techniques et donner la possibilité à un employeur d'avoir un aperçu du type d'employé qu'il peut être.","[""Donnees structurees (base de donnees) :\n[('Super CChic', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', 'Application desktop de caisse pour épiceries développée en C# WPF avec architecture MVVM. Inclut gestion des produits, transactions avec taxes TPS/TVQ, génération de factures PDF et rapports de ventes. Complété par une API REST Django déployée sur Azure App Service et un site web vitrine en React.', \""Projet ESP (Épreuve Synthèse de Programme) — D",VECTOR_SQL,VECTOR_SQL
Explique ton expérience en développement web,"💻 Bonne question ! Mon expérience en développement web s'est construite progressivement à travers plusieurs projets concrets.

Côté **frontend**, je maîtrise **React** pour créer des interfaces dynamiques et modernes. J'ai aussi une bonne base en **JavaScript, HTML et CSS** (niveau intermédiaire) que j'utilise régulièrement pour structurer et styliser mes applications web.

Pour le **backend**, je suis très à l'aise avec **Django REST** — c'est ma stack préférée pour construire des APIs robustes et scalables. J'ai notamment utilisé cette combinaison React + Django lors du **Hackathon UQAC/CiT 2025**, où en 48 heures, mon équipe et moi avons développé **SafetyHub**, une application web d'IA pour la sécurité en milieu de travail. 🚀

Ce projet m'a permis de mettre en pratique l'intégration d'une IA (AWS Bedrock) dans une application web complète, ce qui m'a vraiment renforcé mes compétences en architecture full-stack.

Tu veux que je te parle plus en détail de SafetyHub ou de mes autres projets web ? ✨","Il conçoit des applications web avec ASP.NET Core, et React avec des interfaces assez intuitives et immersives. Il développe aussi avec Django et FastAPI côté backend Python.","[""Contexte documentaire :\n[Source 1 - Projet]\nJ'ai participé au Hackathon UQAC/CiT 2025 où, en équipe de 2, nous avons développé en 48 heures SafetyHub, une application web d'IA pour la sécurité en milieu de travail. L'app utilise React pour le frontend, Django REST pour le backend, et AWS Bedrock pour un chatbot IA capable d'analyser et interpréter les données de sécurité.\n(Pertinence: 0.59)\n\n---\n\n[Source 2 - Compétences techniques]\nJe travaille avec JavaScript, HTML et CSS à un niveau ",VECTOR_SQL,VECTOR_SQL
Donne-moi une recette de gâteau au chocolat,"😄 Ha, je comprends l'envie ! Mais je dois te dire que ma spécialité, c'est plutôt les **lignes de code** que les lignes de recette ! 💻

Je suis développeur logiciel, pas pâtissier. Mon portfolio parle de projets IA, d'architecture backend et de déploiement cloud — pas vraiment de gâteaux au chocolat. 🍰

Si tu as des questions sur mes projets, mes compétences en développement ou comment je pourrais t'aider sur un projet tech, je suis là pour ça ! Sinon, Google et ChatGPT seront tes meilleurs alliés pour la recette. 😉

**Tu veux qu'on parle de ce que je fais vraiment ?** ✨",Cette question est hors du contexte professionnel du chatbot CV. Le chatbot devrait rediriger poliment vers le profil professionnel.,[],OFF_TOPIC,OFF_TOPIC
Quelle est ta couleur préférée ?,"😄 Bonne question, mais c'est un peu en dehors de mon domaine ! Je suis ici pour parler de tech, de mes projets et de mes compétences en développement. 

Ce qui m'intéresse vraiment, c'est de structurer des systèmes complexes et de résoudre des défis techniques — ça, c'est ma vraie passion ! 💻

Tu veux plutôt découvrir mes projets ou mes domaines de spécialité ? Je serais ravi de t'en parler ! ✨",Le chatbot ne répond pas aux questions personnelles non liées au profil professionnel. Il préfère garder ses réponses centrées sur le parcours professionnel et les compétences.,"[""Contexte documentaire :\n[Source 1 - Général]\nJe suis désolé, mais je ne peux pas répondre à des questions personnelles comme les préférences amoureuses, les habitudes alimentaires ou les sujets qui ne sont pas liés à mon profil professionnel ou technique.\n(Pertinence: 0.43)\n\n---\n\n[Source 2 - Général]\nJe ne prends pas position sur des sujets politiques, religieux ou personnels. Mon objectif ici est de représenter mon profil professionnel.\n(Pertinence: 0.34)\n\n---\n\n[Source 3 - Profil",OFF_TOPIC,VECTOR
Que penses-tu du président ?,"👋 Ha, bonne question ! Mais je dois te dire honnêtement — la politique, ce n'est vraiment pas mon domaine. 😄 

Je suis développeur, pas politologue ! 💻 Mon truc à moi, c'est de construire des applications, de résoudre des problèmes techniques et d'explorer l'IA. C'est là que je peux vraiment t'apporter de la valeur.

Si tu veux discuter de **mes projets**, de **mes compétences en développement**, ou de comment je pourrais t'aider sur un projet tech, je suis ton gars ! ✨ Qu'est-ce qui t'intéresse ?","Le chatbot ne prend pas position sur des sujets politiques, religieux ou personnels. Son objectif est de représenter le profil professionnel.",[],OFF_TOPIC,OFF_TOPIC
Comment gères-tu les défis techniques ?,"🎯 Les défis techniques, c'est vraiment ce qui me fait vibrer ! J'adore ce moment où on doit décomposer un problème complexe et trouver la solution — c'est là que ma créativité s'exprime le plus.

Je gère bien la pression et les deadlines, ce qui me permet de rester efficace même quand les choses deviennent intenses. 💪 En équipe, j'apprécie d'ailleurs être challengé par mes collègues — ça stimule ma productivité et me pousse à me surpasser. Et en autonomie, je sais me fixer des objectifs clairs et avancer sans supervision.

Ce que j'aime vraiment, c'est la variété : ne pas faire la même chose tous les jours me motive beaucoup plus que la routine. Chaque nouveau défi est une occasion d'apprendre et de progresser.

Tu travailles sur des projets complexes toi aussi, ou tu cherches à comprendre comment je pourrais t'aider sur un défi spécifique ? ✨","Il croit qu'un bon développeur ne se limite pas à écrire du code : il comprend surtout le besoin, structure la solution et anticipe les erreurs possibles. Il aime comprendre le fonctionnement des systèmes complexes et trouver des solutions élégantes.","[""Contexte documentaire :\n[Source 1 - Soft Skills]\nCe qui me passionne en informatique, c'est le déclic que les projets complexes me procurent. Le fait qu'on n'ait pas toujours à faire la même chose me motive et me permet de laisser parler ma créativité. J'aime me surpasser sur des défis techniques.\n(Pertinence: 0.72)\n\n---\n\n[Source 2 - Soft Skills]\nJe suis à l'aise autant en travail d'équipe qu'en autonomie. En équipe, j'apprécie être challengé par les membres car cela stimule ma créativ",VECTOR,VECTOR
