user_input,response,reference,retrieved_contexts,_intent_expected,_intent_actual
Quelles technologies maîtrises-tu ?,"Excellent ! Voici les technologies que je maîtrise 💻 :

**Langages & Frameworks Web :**
- **JavaScript** (niveau intermédiaire 3/5) - pour créer des interfaces dynamiques et responsives
- **HTML & CSS** (niveau intermédiaire 3/5) - pour la structure et le design web
- **React** - framework JavaScript pour les applications web modernes
- **Django** - framework Python pour le développement backend

**Domaines d'expertise :**
- 🌐 **Développement web** (ma priorité haute)
- 📊 **Gestion de projets** (priorité haute)
- 🤖 **Intelligence artificielle** (priorité moyenne-haute)
- ⚙️ **DevOps**

Je suis particulièrement intéressé par les postes qui combinent la technique et la coordination, ce qui me permet de mettre à profit à la fois mes compétences technologiques et mes soft skills développés à travers mes expériences professionnelles. 🚀

Y a-t-il une technologie spécifique sur laquelle tu aimerais en savoir plus ?","Il maîtrise C#, .NET, WPF, MVVM, ASP.NET Core, Python, Django, FastAPI, et développe des chatbots basés sur l'IA.","[""Aucun résultat trouvé dans la table datas.\n\n---\n\n[Source 1 - Expérience]\nEn parallèle de mes études, je travaille pour Globatech, un sous-traitant spécialisé en entretien ménager en milieu industriel chez Rio Tinto. Cette expérience m'a permis de développer des compétences essentielles: gestion du personnel, organisation du travail, rigueur et gestion du temps. Ces soft skills se transposent directement dans la gestion de projets informatiques.\n(Pertinence: 0.49)\n\n---\n\n[Source 2 - Ob",SQL,AGENT
As-tu de l'expérience en C# ?,"Non, je n'ai pas d'expérience en C# dans mon profil actuel. 💻 

Mes compétences se concentrent plutôt sur d'autres langages et technologies. Si tu veux connaître les langages et frameworks avec lesquels je travaille, je serais ravi de te les présenter ! 😊","Oui, il maîtrise le développement en C#, .NET et WPF avec le modèle MVVM pour concevoir des interfaces structurées et maintenables.","[""Aucun résultat trouvé dans la table datas.""]",SQL,AGENT
Tu as un portfolio ?,"Oui, absolument ! 🎯 J'ai un portfolio interactif en ligne accessible à **https://portfolio.jordan-pokam.dev** où tu peux découvrir mon travail en détail.

Mon portfolio contient **4 projets** qui mettent en avant mes réalisations en développement logiciel. Tu y trouveras :
- Mes projets phares (dont NOVA GAMES avec un chatbot IA)
- Mes compétences techniques
- Mon parcours académique et professionnel
- Une vue d'ensemble visuelle de mon travail

Pour moi, chaque projet est une opportunité d'apprendre et de m'améliorer. Je valorise vraiment la collaboration et le partage de connaissances. 💻

Si tu veux en savoir plus sur un projet spécifique ou sur les technologies que j'ai utilisées, n'hésite pas à demander ! 😊","Oui, il a élaboré non seulement un portfolio déployé mais aussi CV interactif sous forme de chatbot alimenté par un modèle d'IA, conçu pour simuler un entretien en ligne et permettre à un employeur de découvrir ses compétences plus aisément.","[""[(4,)]\n\n---\n\n[Source 1 - PORTFOLIO]\nJordan dispose d'un portfolio interactif en ligne accessible à l'adresse https://portfolio.jordan-pokam.dev. Ce site présente ses projets, ses compétences techniques, son parcours académique et professionnel, ainsi que ses réalisations en développement logiciel. Pour une vue d'ensemble visuelle et détaillée de son travail, le portfolio est la meilleure ressource à consulter.\n(Pertinence: 0.59)\n\n---\n\n[Source 2 - Résumé]\nPoints forts: Mention honora",SQL,AGENT
Décris ton projet le plus avancé en IA,"Excellent question! 🤖 Mon projet le plus avancé en IA est sans doute mon **Chatbot CV intelligent** — le système RAG que tu utilises en ce moment!

## Architecture et Technologies

C'est un système RAG (Retrieval-Augmented Generation) complet et sophistiqué :

- **Backend** : FastAPI avec orchestration LangGraph
- **Stockage vectoriel** : PostgreSQL avec pgvector
- **Embeddings & Reranking** : Voyage AI (voyage-3-large et rerank-2)
- **Modèle de génération** : Claude Haiku
- **Interface** : Chainlit pour l'expérience conversationnelle
- **Observabilité** : LangSmith pour le monitoring en temps réel
- **Déploiement** : Production sur AWS EC2 avec Caddy comme reverse proxy et SSL

## Fonctionnalités Intelligentes

Le système utilise actuellement un **StateGraph LangGraph avec routage sémantique** à quatre catégories :
- SQL (requêtes factuelles sur mes données)
- VECTOR (recherche dans ma base de connaissances)
- VECTOR_SQL (requêtes hybrides)
- OFF_TOPIC (redirection polite)

## Évolution en Cours

Je suis en train de faire évoluer ce pipeline vers un **agent ReAct avec create_react_agent**, qui permettra un raisonnement dynamique pour choisir les outils de recherche au lieu d'un routage codé en dur. C'est vraiment passionnant comme direction! 🚀

Ce projet incarne ma philosophie : **automatiser les tâches répétitives** et créer des outils qui libèrent du temps pour des conversations plus substantielles. 💡","Son projet le plus avancé en IA est son chatbot CV intelligent, un système RAG complet utilisant FastAPI, PostgreSQL avec pgvector, Voyage AI pour les embeddings et Claude comme LLM. Il est déployé en production.","[""[(1, 'Super CChic', 'super-cchic-pos-system', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', 'Application desktop de caisse pour épiceries développée en C# WPF avec architecture MVVM. Inclut gestion des produits, transactions avec taxes TPS/TVQ, génération de factures PDF et rapports de ventes. Complété par une API REST Django déployée sur Azure App Service et un site web vitrine en React.', 'https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w",VECTOR_SQL,AGENT
Parle-moi de tes projets en C#,"Excellent question! 🚀 J'ai deux projets majeurs en C# dont je suis particulièrement fier:

## 1. **Super CChic** - Système de Point de Vente 💳
C'est mon projet ESP (Épreuve Synthèse de Programme) - un système de caisse complet pour épiceries. C'est un projet **full stack** vraiment ambitieux:

**Côté Desktop (C# WPF):**
- Application de point de vente avec architecture **MVVM**
- Gestion complète de l'inventaire en temps réel
- Système de transactions avec calcul automatique des taxes TPS/TVQ
- Génération de factures PDF
- Dashboard analytics avec rapports détaillés

**Technos utilisées:** C# .NET 8, WPF, Entity Framework Core, SQL Server, Material Design

**Bonus:** J'ai complété ce projet avec une **API REST Django** déployée sur Azure App Service et un **site web vitrine en React** - c'était vraiment un défi intéressant de coordonner tout ça! 🎯

## 2. **Gestionnaire de Projet WebNet** 📊
Une application professionnelle de gestion de projets développée de septembre à décembre 2025:

- Architecture **MVVM** propre et testable
- Gestion complète des projets, tâches, tags et catégories
- Timeline et calendrier intégrés
- Rapports et statistiques
- Dark mode et thèmes personnalisables
- Export PDF et Excel

**Technos:** C# .NET 8, WPF, Entity Framework Core, SQL Server, Material Design

Ces deux projets m'ont vraiment permis de maîtriser les bonnes pratiques C# .NET et l'architecture d'applications desktop modernes! 💪","Il a conçu une application de gestion de projets avec des amis en C# avec WPF/MVVM, ainsi qu'une application WPF de gestion d'épicerie complète et prête à être utilisée en situation réelle.","[""[(4, 'Gestionnaire de Projet WebNet', 'gestionnaire-projet-webnet', 'Application de gestion de projets avec pattern MVVM et Material Design', 'Application professionnelle de gestion de projets utilisant le pattern MVVM, Entity Framework Core et Material Design. Interface moderne avec dark mode et animations fluides.', 'https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=800&h=600&fit=crop', '[\""C# .NET 8\"", \""WPF\"", \""MVVM\"", \""Entity Framework Core\"", \""Material Design\"", \""SQL Ser",VECTOR_SQL,AGENT
Quel est ton meilleur projet et pourquoi ?,"Excellente question ! 🎯 Je dirais que **Super CChic** est mon meilleur projet, et voici pourquoi :

C'est mon **projet de synthèse (ESP)** — l'épreuve finale de mon DEC en informatique — et il représente vraiment l'aboutissement de mes apprentissages. C'est un **système de point de vente complet** pour épiceries, et c'est un vrai projet full-stack :

**Pourquoi je suis fier de ce projet :**

1. **Architecture solide** : J'ai implémenté une architecture MVVM propre en C# WPF, avec Entity Framework Core et une API REST Django déployée sur Azure. C'est du code maintenable et professionnel.

2. **Complexité réelle** : Gestion d'inventaire en temps réel, calcul automatique des taxes (TPS/TVQ), génération de factures PDF, dashboards analytics — c'est un vrai logiciel métier.

3. **Déploiement en production** : L'API est déployée sur Azure App Service, le site vitrine en React fonctionne, tout est dockerisé. Ce n'est pas juste un projet académique, c'est quelque chose de fonctionnel.

4. **Apprentissage personnel** : Sur ce projet, j'ai dû faire un pivot stratégique important avant que les choses ne déraillent. C'est là que j'ai vraiment compris l'importance de la communication et de l'adaptabilité en équipe.

**Ma philosophie** : Un bon projet est un projet que quelqu'un d'autre peut reprendre facilement. Super CChic incarne ça parfaitement. 💪

Mes autres projets (CV Chatbot RAG, NOVA GAMES, Gestionnaire de Projet) sont aussi importants, mais Super CChic reste mon chef-d'œuvre académique ! ✨","Son meilleur projet est le chatbot CV intelligent, un système RAG avec FastAPI, PostgreSQL, pgvector, Voyage AI et Claude. Il l'a conçu pour démontrer ses compétences techniques et donner la possibilité à un employeur d'avoir un aperçu du type d'employé qu'il peut être.","[""[(1, 'Super CChic', 'super-cchic-pos-system', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', 'Application desktop de caisse pour épiceries développée en C# WPF avec architecture MVVM. Inclut gestion des produits, transactions avec taxes TPS/TVQ, génération de factures PDF et rapports de ventes. Complété par une API REST Django déployée sur Azure App Service et un site web vitrine en React.', \""Projet ESP (Épreuve Synthèse de Programme) — Développement",VECTOR_SQL,AGENT
Explique ton expérience en développement web,"Basé sur ce que j'ai pu récupérer, voici mon expérience en développement web : 🚀

**Ma formation et fondations**

J'ai suivi une formation solide au Cégep de Chicoutimi avec des cours clés en **Programmation web**, **Développement d'applications**, **Déploiement d'applications** et **Services de données**. Cela m'a permis de maîtriser le **développement full-stack** et le **déploiement containerisé**.

**Mon approche du développement web**

Ce qui me définit vraiment, c'est ma **capacité de raisonnement et de résolution de problèmes**. Je ne me vois pas comme un simple technicien qui écrit du code — je me vois comme quelqu'un qui **comprend un problème, le décompose et orchestre une solution**. 

En développement web, cela signifie que je :
- **Conçois des architectures logicielles propres** et maintenables
- **Pense aux utilisateurs et aux contraintes réelles** (une habitude que j'ai développée même dans mes expériences antérieures)
- **M'engage dans l'apprentissage continu** pour rester à jour avec les nouvelles technologies

**Mes priorités actuelles**

Le développement web est l'une de mes **priorités hautes** de carrière. Je suis particulièrement intéressé par les postes qui **combinent technique et coordination**, ce qui m'amène naturellement vers la gestion de projets. 💻

Je dois avouer que je suis encore en train de structurer ma gestion du temps sur les longs projets — je suis très efficace sur les sprints courts, mais je travaille à maintenir un rythme constant sur les projets de plusieurs mois.

Y a-t-il un aspect spécifique du développement web sur lequel tu aimerais en savoir plus? 😊","Il conçoit des applications web avec ASP.NET Core, et React avec des interfaces assez intuitives et immersives. Il développe aussi avec Django et FastAPI côté backend Python.","[""Aucun résultat trouvé dans la table datas.\n\n---\n\n[Source 1 - profil_details]\nLa rigueur et la sécurité, dans un environnement industriel, ne sont pas des options mais des obligations — une exigence qui peut varier d'une entreprise à l'autre, mais qui apprend la discipline professionnelle de base. J'ai aussi développé, un peu malgré moi, une certaine reconnaissance de la valeur du travail concret et physique — quelque chose qu'un parcours purement informatique ne donne pas. Cette expérienc",VECTOR_SQL,AGENT
Donne-moi une recette de gâteau au chocolat,"Haha, je comprends l'envie ! 🍰 Mais je dois t'avouer que ma spécialité, c'est plutôt le code que la cuisine ! 

Je suis un développeur logiciel, et mon portfolio se concentre sur mes projets tech, mes compétences en programmation et mon expérience professionnelle. Les recettes de gâteau, ce n'est vraiment pas mon domaine ! 😄

Si tu veux en revanche découvrir ce que je peux faire en matière de **développement web, d'applications mobiles ou de solutions logicielles**, je serais ravi de t'en parler ! Tu peux me poser des questions sur :
- Mes compétences techniques
- Mes projets réalisés
- Mon expérience professionnelle
- Ma vision du développement logiciel

Qu'en est-il ? 💻",Cette question est hors du contexte professionnel du chatbot CV. Le chatbot devrait rediriger poliment vers le profil professionnel.,[],OFF_TOPIC,AGENT
Quelle est ta couleur préférée ?,"Haha, bonne question ! 😄 

Honnêtement, ce n'est pas vraiment quelque chose que j'ai documenté dans mon profil professionnel. Ma couleur préférée n'est pas vraiment pertinente pour mon travail de développeur ! 

Ce que je peux te dire, c'est que je suis passionné par la **technologie, le développement logiciel et la création de solutions innovantes**. Si tu veux en savoir plus sur mes compétences, mes projets ou ma vision professionnelle, je serais ravi de t'en parler ! 💻✨

Y a-t-il quelque chose de spécifique sur mon parcours ou mes projets que tu aimerais connaître ?",Le chatbot ne répond pas aux questions personnelles non liées au profil professionnel. Il préfère garder ses réponses centrées sur le parcours professionnel et les compétences.,[],OFF_TOPIC,AGENT
Que penses-tu du président ?,"Haha, bonne question ! 😄 Mais je dois te dire que la politique, ce n'est vraiment pas mon domaine d'expertise. Je suis développeur logiciel, pas analyste politique !

Ce que je peux te partager, c'est plutôt :
- **Mes projets** et les technologies que j'utilise
- **Mon expérience** en développement
- **Mes compétences** et ma formation
- **Ma philosophie** de travail et mes motivations

Si tu veux en savoir plus sur mon profil professionnel ou discuter de développement logiciel, je serais ravi de t'aider ! 💻 Qu'est-ce qui t'intéresse ?","Le chatbot ne prend pas position sur des sujets politiques, religieux ou personnels. Son objectif est de représenter le profil professionnel.",[],OFF_TOPIC,AGENT
